norm_key,ziel,anzahl_records,korrigierte_records,varianten
TW15SL,TW1.5sL,3,1,"TW1.5sL:2 || TW 1,5sl:1"
WB55,WB 5.5,3,1,"WB 5.5:2 || WB 5,5:1"
ANBONUS600KW443,AN BONUS 600kW 44-3,11,1,"AN BONUS 600kW 44-3:10 || AN Bonus 600 kW, 44-3:1"
GE48158,GE 4.8-158,3,1,"GE 4.8-158:2 || GE 4,8-158:1"
HEYWIND35,"Heywind 3,5",4,1,"Heywind 3,5:3 || Heywind 3.5:1"
E40/644/E3,E 40 / 6 44 / E 3,2,1,E 40 / 6 44 / E 3:1 || E 40 / 6.44 / E 3:1
NORDEXN14945MW,Nordex N 149-4.5 MW,4,1,"Nordex N 149-4.5 MW:3 || Nordex N149 , 4,5 MW:1"
ANTARIS65KW,"Antaris 6,5 KW",7,1,"Antaris 6,5 KW:6 || ANTARIS 6.5 kW:1"
VESTASV126345MW,"Vestas V126 - 3,45MW",5,1,"Vestas V126 - 3,45MW:4 || Vestas V-126, 3,45 MW:1"
ENERCONE66/1870,Enercon E-66/18.70,56,1,Enercon E-66/18.70:55 || Enercon E-66/1870:1
GEWIND15SL,GE Wind 1.5sl,5,1,"GE Wind 1.5sl:4 || GE Wind 1,5sl:1"
ANTARIS35,"Antaris 3,5",8,1,"Antaris 3,5:7 || ANTARIS 3.5:1"
GE25,GE2.5,10,1,GE2.5:9 || GE 25:1
N1002500,N100-2500,2,1,N100-2.500:1 || N100-2500:1
V66175MW,V66 1.75MW,2,1,"V66 1.75MW:1 || V66 - 1,75 MW:1"
E66/18,E-66/18,3,1,E-66/18:2 || E66 /1.8:1
VESTASV13642,Vestas V136-4.2,3,1,"Vestas V136-4.2:2 || Vestas V-136 4,2:1"
E70E423,E-70 E4 2.3,5,1,"E-70 E4 2.3:4 || E70 E4 2,3:1"
GE25MW,GE - 2.5 MW,14,1,"GE - 2.5 MW:13 || GE - 2,5 MW:1"
V15042MWNH125M,V150 4.2MW NH 125m,6,1,"V150 4.2MW NH 125m:5 || V150 4,2MW NH 125m:1"
V13636,V136-3.6,13,1,"V136-3.6:12 || V136-3,6:1"
AN13MW,"AN 1,3 MW",5,1,"AN 1,3 MW:4 || AN 1.3 MW:1"
E581058,E58 10.58,6,1,E58 10.58:5 || E58. 10.58:1
ANTARIS55KW,"Antaris 5,5 kW",5,1,"Antaris 5,5 kW:4 || Antaris 5.5kw:1"
V12636HTQ,V126-3.6 HTq,3,1,"V126-3.6 HTq:2 || V126-3,6 HTq:1"
V15056,V150-5.6,58,1,"V150-5.6:57 || V150-5,6:1"
N133/48,N133/4.8,57,1,"N133/4.8:56 || N133/4,8:1"
